Lat,Long,Ocean,Cr_nmol/kg,sst_09,sst_10,sst_11,sst_12,Year,sst_01,sst_02,sst_04,sst_05,sst_06,sst_07,sst_08,sst_03,yearly_mean_sst
30.0,-140.0,Pacific,3.855384615384615,23.835157,22.507713,21.030592,19.5186,1997,,,,,,,,,21.723017
32.16666666666666,-64.5,Atlantic,2.985199082760058,26.557034,24.661392,22.633457,20.658123,1997,,,,,,,,,23.627502
32.2,-64.5,Atlantic,2.9,26.532267,24.263182,22.600939,20.59995,1997,,,,,,,,,23.499084
32.66666666666666,-29.41666666666667,Atlantic,4.35,25.44865,24.291685,21.381979,19.780798,1997,,,,,,,,,22.725777
33.36666666666667,-27.5,Atlantic,2.9729166666666664,24.69047,23.483923,20.945417,19.639296,1997,,,,,,,,,22.189777
34.0,-158.0,Pacific,3.193636363636364,23.34297,21.830595,18.299921,15.961732,1997,,,,,,,,,19.858805
34.11666666666667,-41.73333333333333,Atlantic,3.11,25.58864,22.557007,21.12369,19.713036,1997,,,,,,,,,22.245592
34.23,-120.03,Pacific,2.5625,20.277971,19.417591,18.050938,16.62747,1997,,,,,,,,,18.593493
35.7,-40.76666666666667,Atlantic,2.9678571428571425,24.220314,22.679176,20.213938,17.882442,1997,,,,,,,,,21.248968
35.92283333333334,-26.87926666666667,Atlantic,2.6555652751315826,23.908125,22.73135,19.62444,18.783293,1997,,,,,,,,,21.2618
35.93333333333333,-5.566666666666666,Mediterranean,3.0066666666666664,21.063175,20.804186,19.18669,16.886496,1997,,,,,,,,,19.485138
36.16666666666666,15.58333333333333,Mediterranean,3.1866666666666665,25.16672,22.814669,19.242815,17.051765,1997,,,,,,,,,21.068993
37.95,-31.26666666666667,Atlantic,3.105,22.428034,21.531805,18.95625,16.778866,1997,,,,,,,,,19.923738
39.43333333333333,-23.23333333333333,Atlantic,2.873,21.088636,20.311895,18.15959,16.174593,1997,,,,,,,,,18.933678
39.98333333333333,6.5,Mediterranean,3.2577777777777777,25.178125,22.661493,17.703386,15.846321,1997,,,,,,,,,20.347332
41.99716666666666,-158.0085,Pacific,3.0271428571428567,17.123604,13.732683,10.964085,8.549547,1997,,,,,,,,,12.59248
42.24181666666667,-19.1961,Atlantic,2.7699134028822447,19.524689,18.846018,16.519564,14.557863,1997,,,,,,,,,17.362034
45.0,145.0,Pacific,3.3052264808362373,14.693439,10.942894,7.360938,4.4228835,1997,,,,,,,,,9.355039
46.0,-158.0,Pacific,3.1285714285714286,13.762814,11.670666,9.405001,7.781553,1997,,,,,,,,,10.655008
46.07166666666667,-129.9283333333333,Pacific,5.25703564727955,17.425938,14.319029,12.383438,10.243247,1997,,,,,,,,,13.592913
47.2434,-9.33188333333333,Atlantic,2.8271901147291607,17.492046,17.252724,14.114689,12.854638,1997,,,,,,,,,15.428524
49.566,-138.667,Pacific,2.974634146341464,14.042004,11.445515,9.701063,8.114516,1997,,,,,,,,,10.825774
50.0,-145.0,Pacific,3.6784019415902725,12.864126,10.693851,8.733874,6.2940426,1997,,,,,,,,,9.646474
50.00166666666667,-145.0,Pacific,3.095,12.864126,10.693851,8.733874,6.2940426,1997,,,,,,,,,9.646474
54.5,-48.46,Atlantic,2.942720047983206,9.362512,9.496512,6.7296877,4.192692,1997,,,,,,,,,7.4453506
55.0,-147.2158333333333,Pacific,3.25,13.43761,9.74951,6.7400002,4.951875,1997,,,,,,,,,8.7197485
69.5,-137.9833333333333,Arctic,1.730899048197846,5.3385835,0.3412501,-1.4156249,,1997,,,,,,,,,1.4214029
69.66666666666667,-138.15,Arctic,1.884756741370988,4.6883006,0.5115626,-1.0875,,1997,,,,,,,,,1.3707877
69.81666666666666,-138.3333333333333,Arctic,1.827060106431059,4.3230033,0.6881252,-0.8343749,,1997,,,,,,,,,1.3922511
70.0,-138.0,Arctic,1.90398895301763,3.6465003,0.89125025,-1.003125,,1997,,,,,,,,,1.1782086
71.1,-139.0166666666667,Arctic,1.9953419583391834,2.71875,,,,1997,,,,,,,,,2.71875
72.51666666666667,-136.6833333333333,Arctic,2.416847930261436,-1.753125,,,,1997,,,,,,,,,-1.753125
72.8,-159.62,Arctic,1.6675,1.0024377,0.9515626,0.13125011,,1997,,,,,,,,,0.69508344
74.63333333333334,-137.3333333333333,Arctic,2.839956586487576,,,,,1997,,,,,,,,,
85.13,-150.1,Arctic,2.4526086956521738,,,,,1997,,,,,,,,,
-67.29,163.536,Southern Ocean,3.835823175579897,,,,,1998,,-2.0215826,-2.6484375,,,,,,-2.33501
-67.189,145.721,Southern Ocean,3.7810159689477536,,,,,1998,,,,,,,,,
-67.1,167.36,Southern Ocean,3.858050465689068,,,,,1998,-1.6725605,-1.1024948,-1.4489397,,,,,,-1.4079984
-63.963,-66.242,Southern Ocean,3.8113168770861883,-2.775,-2.3859375,-2.1934373,-0.7307142,1998,0.70544374,1.1082159,0.51125014,-0.8859374,-1.0099431,-1.6265625,,,-0.9282621
-59.611,148.64,Southern Ocean,3.78023700507115,-2.195625,-1.5354263,-1.546354,-0.83669347,1998,0.9996642,1.0680373,0.5637742,0.27126375,-0.5390624,-0.6468749,-1.517824,,-0.53773826
-59.6,-67.92,Southern Ocean,3.63,1.5626563,1.8170867,1.5653127,1.8638107,1998,3.568851,3.641583,4.487054,3.469158,3.4088173,3.3055398,2.0413196,,2.7937446
-59.6,-67.919,Southern Ocean,3.71209750575196,1.5626563,1.8170867,1.5653127,1.8638107,1998,3.568851,3.641583,4.487054,3.469158,3.4088173,3.3055398,2.0413196,,2.7937446
-54.83,-95.68,Southern Ocean,3.6659999999999995,4.7525,5.2135587,4.912813,5.4700356,1998,6.2509074,8.105746,7.186806,6.5915284,,4.4281254,4.285434,,5.719745
-53.583,149.298,Southern Ocean,3.489904376667043,4.125352,4.3146677,4.813297,6.381048,1998,5.813458,6.0218754,6.5006256,6.2358875,5.180208,5.8256254,4.9504156,,5.469315
-53.2,-118.13,Southern Ocean,3.6333333333333333,4.7212505,4.7339215,4.877813,5.2440524,1998,7.0767145,6.9438133,6.5242705,5.422803,5.255209,4.9203124,4.5945063,,5.4831514
-50.99,-72.04,Southern Ocean,3.71,,,,,1998,,,,,,,,,
