1997,1998,1999,2000,2001
-4051.1873,-4050.7593,-4055.7988,-4046.057,-4051.1213
-4065.7861,-4065.361,-4065.5088,-4060.6567,-4060.8354
-4070.5981,-4075.069,-4075.215,-4075.289,-4075.4385
-4085.2056,-4079.889,-4084.9255,-4089.9014,-4080.2292
-4085.1084,-4089.588,-4089.7275,-4089.8274,-4085.0376
-4094.825,-4094.4172,-4094.558,-4094.659,-4094.7537
-4158.3447,-4157.9517,-4158.0884,-4158.199,-4158.288
-4177.852,-4182.339,-4182.489,-4182.589,-4182.675
-4202.214,-4206.7393,-4202.004,-4202.0776,-4202.177
-4211.947,-4211.5874,-4211.7354,-4211.797,-4207.021
-4246.128,-4240.88,-4245.9253,-4245.991,-4241.1895
-4265.6445,-4265.286,-4265.4497,-4265.504,-4260.6943
-4280.266,-4279.921,-4280.0854,-4280.1177,-4280.2246
-4294.874,-4294.521,-4294.703,-4294.722,-4294.844
-4348.6396,-4348.285,-4348.4795,-4348.4844,-4348.6074
-4373.039,-4377.587,-4382.6865,-4382.6953,-4377.9043
-4480.6147,-4485.1714,-4485.3765,-4480.4717,-4480.5527
-4495.236,-4494.9053,-4495.123,-4495.086,-4495.162
-4509.864,-4509.5303,-4509.779,-4509.718,-4509.79
-4514.699,-4514.375,-4514.643,-4509.6553,-4504.8706
-4446.1655,-4436.059,-4446.111,-4446.004,-4426.5376
-4421.6265,-4401.7285,-4421.594,-4421.479,-4406.902
-4416.6357,-4396.743,-4416.616,-4416.5234,-4397.02
-4387.2305,-4362.4463,-4387.2007,-4387.1084,-4367.6294
-4284.466,-4264.5566,-4289.3096,-4289.205,-4274.647
-4230.6064,-4215.589,-4230.571,-4235.344,-4225.6743
-4240.338,-4205.7485,-4230.515,-4235.28,-4210.932
-4181.5464,-4176.333,-4196.195,-4191.1855,-4166.816
-4147.2485,-4146.9404,-4147.212,-4147.0986,-4142.303
-4142.2847,-4137.1035,-4142.2617,-4142.1494,-4127.555
-4127.5625,-4112.596,-4122.626,-4127.4243,-4127.503
-4127.473,-4127.2124,-4132.3447,-4132.2183,-4132.324
-4137.189,-4127.129,-4132.2876,-4137.048,-4132.248
