Lat,Long,Ocean,Cr_nmol/kg,npp_10,npp_11,npp_12,Year,npp_01,npp_02,npp_04,npp_05,npp_06,npp_07,npp_08,npp_09,npp_03,yearly_mean_npp
11.83333333333333,-103.8333333333333,Pacific,3.1154545454545457,261.15466,272.99808,319.9771,1998,278.7325,219.40596,220.14244,210.26169,206.29276,255.03384,244.5859,255.78917,,249.48854
12.0325,-28.9805,Atlantic,2.606471166666667,359.6885,2518.5718,551.5857,1998,536.1864,506.06357,511.60147,413.1654,399.89737,384.75424,454.6573,337.34518,,633.95605
12.5882,-17.5724,Atlantic,2.214833875,1097.0599,649.6612,1706.84,1998,2129.2886,2626.847,4843.3413,2673.749,1786.361,1026.4462,648.3468,1029.8108,,1837.9774
12.5942,-17.9199,Atlantic,2.5420315555555555,1182.5693,415.2578,1203.3059,1998,1257.106,1359.1611,3773.0425,1676.0071,1343.8168,785.9152,605.81384,493.56396,,1281.4144
12.61,-17.7157,Atlantic,2.572664178571429,1193.24,489.96967,1704.849,1998,1424.3755,1398.9049,3929.7183,1821.0868,1787.451,886.095,628.804,777.1697,,1458.3331
12.612,-17.5728,Atlantic,2.18983575,1097.0599,649.6612,1706.84,1998,2129.2886,2626.847,4843.3413,2673.749,1786.361,1026.4462,648.3468,1029.8108,,1837.9774
12.74366666666667,-28.5015,Atlantic,2.849897804814339,334.81723,2243.9585,2159.4,1998,494.67844,455.70227,519.68304,435.68286,458.5687,359.08597,329.59924,324.97275,,737.8317
12.83333333333333,103.9333333333333,Pacific,15.8,,,,1998,,,,,,,,,,
15.0,-107.0,Pacific,2.8378695652173915,243.97032,266.92935,246.40149,1998,299.34323,303.99982,346.67108,295.34915,297.0169,282.35828,311.69742,279.7247,,288.49652
16.8,-106.9,Pacific,3.496111111111111,275.42096,230.63441,283.2055,1998,311.9285,426.43674,344.6297,370.0729,323.11887,307.82465,305.02853,248.91566,,311.56516
17.27893333333333,-32.15118333333334,Atlantic,2.7914761140638444,332.46756,344.64194,544.8727,1998,403.9662,340.33093,368.7621,375.38742,401.3292,361.53085,357.0261,336.44394,,378.79626
18.2,-104.2,Pacific,3.09375,544.5478,538.90326,450.78574,1998,311.2078,506.26425,636.8395,670.6509,336.5925,339.95532,287.78528,471.77393,,463.20966
18.9,-108.8,Pacific,2.9788888888888887,305.1347,353.9838,325.71616,1998,374.12042,432.93002,554.7479,540.5331,326.31277,296.94116,304.62845,297.57755,,373.8751
20.0,-106.0,Pacific,2.772307692307692,330.77118,680.3475,1345.1602,1998,478.34677,944.9805,1046.4647,1089.7565,453.77512,331.66724,325.15112,497.97473,,684.03595
